pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y,pt8_cam1_X,pt8_cam1_Y,pt9_cam1_X,pt9_cam1_Y,pt10_cam1_X,pt10_cam1_Y,pt11_cam1_X,pt11_cam1_Y
2297.400414,1027.353839,2139.733782,1143.143205,2364.853903,1022.724391,1908.492839,1273.926979,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2334.486211,1066.219527,2173.275493,1164.239188,2413.972692,1076.282435,1925.264922,1263.509831,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2382.247338,1125.548437,2207.940610,1197.189105,2461.936267,1145.872011,1946.716115,1252.777150,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2420.511923,1183.720440,2239.945636,1237.317478,2502.406876,1231.593483,1970.830157,1247.799259,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2486.915500,1299.336252,2276.172550,1291.327692,2537.675085,1339.042889,2005.013374,1252.047615,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2489.383026,1304.801598,2287.526617,1302.760867,2546.631427,1351.886292,2022.309778,1254.453555,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2488.934164,1300.348385,2289.994892,1296.271768,2547.119955,1350.051521,2023.510917,1243.927566,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2491.380600,1301.193269,2290.982202,1301.215843,2550.160000,1350.680000,2023.510917,1253.250585,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2492.224198,1301.298880,2292.660000,1304.040000,2551.880000,1350.620000,2023.270689,1260.769149,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2493.067797,1301.404491,2293.930000,1304.610000,2553.280000,1351.920000,2024.471828,1261.370634,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2493.050000,1300.970000,2292.472783,1305.383636,2553.150000,1351.650000,2023.410000,1262.320000,2023.395464,1262.353929,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2492.910000,1301.780000,2292.588352,1306.396414,2552.970000,1352.440000,2022.830000,1263.020000,2022.850000,1262.800000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2493.150000,1303.120000,2292.740000,1306.800000,2553.130000,1353.280000,2023.140000,1263.410000,2023.210000,1263.110000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2493.140000,1302.140000,2293.130000,1306.360000,2553.150000,1352.560000,2023.180000,1262.160000,2023.180000,1262.140000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
